Model,Name,MAC address,Public IP,Uplink IP (Port 1),Uplink IP (Port 2),Tags,Network,Serial number,Clients,Usage,Contacted at,Configuration status
"MX67C-WW","Port Macquarie NSW","2c:3f:0b:ca:63:36","60.240.251.74","","","","S12-NSW-SHERWOOD ROAD-PORT MACQUARIE ","Q2JY-A53H-2H4Q","6","25.89 GB","72 seconds ago","Up to date"
"MX67C-WW","Prahran VIC","2c:3f:0b:ca:8e:1d","14.201.213.222","","","","S33-VIC-CHAPEL STREET-PRAHRAN ","Q2JY-LW2J-BYCN","12","40.49 GB","47 seconds ago","Up to date"
"MX250","Richmond DC","bc:db:09:b2:3b:c9","27.33.7.2","",""," 900893429 ","S44-VIC-Burnley Street-Richmond","Q2SW-AXH5-BSZ6","1","25 KB","69 seconds ago","Up to date"
"MX67C-WW","Smeaton Grange NSW","2c:3f:0b:ca:65:d6","110.174.32.226","","","","S13-NSW-MCPHERSON ROAD-SMEATON GRANGE ","Q2JY-ARNY-LZD9","22","37.53 GB","52 seconds ago","Up to date"
"MX67C-WW","Subiaco WA","2c:3f:0b:ca:b7:c2","124.148.246.178","","","","S41-WA-Subiaco Square Road-Subiaco","Q2JY-7SGT-6H5M","35","102.66 GB","65 seconds ago","Up to date"
"MX67C-WW","Sylvania NSW","2c:3f:0b:ca:69:e9","60.242.152.234","","","","S15-NSW-PORT HACKING ROAD-SYLVANIA","Q2JY-BPPL-VF8M","9","14.08 GB","48 seconds ago","Up to date"
"MX67C-WW","University Victoria VIC","2c:3f:0b:b3:10:7a","27.32.231.106","",""," 900907841 ","S48-VIC-Andrea Street-St Albans","Q2JY-BCGS-DZ4A","17","33.77 GB","58 seconds ago","Up to date"
"MX67C-WW","Wollongong NSW","2c:3f:0b:ca:69:f7","27.33.218.66","","","","S16-NSW-COURT LANE-WOLLONGONG","Q2JY-BQK2-PJH5","16","28.33 GB","51 seconds ago","Up to date"
"MX67C-WW","Wyoming NSW","2c:3f:0b:ca:6c:12","110.174.32.182","","","","S18-NSW-CARY STREET-WYOMING","Q2JY-C9JS-J3EF","41","53.77 GB","60 seconds ago","Up to date"
"MX67C-WW","bc:db:09:c0:c9:49","bc:db:09:c0:c9:49","14.202.42.202","","","","S25-QLD-SHAKESPEARE STREET-MACKAY ","Q2JY-T8AP-73G6","5","3.99 GB","66 seconds ago","Up to date"
"MX67C-WW","cc:9c:3e:44:35:35","cc:9c:3e:44:35:35","14.203.218.174","",""," 900913509 ","S47-VIC-Victoria Crescent-Abbotsford","Q2JY-U7BB-E2C2","21","56.96 GB","88 seconds ago","Up to date"
